GEOID,year,black_wealth_index,latino_wealth_index,white_wealth_index,black_white_gap,latino_white_gap
24001000100,2014,0.756230868119787,,1.71600699538464,-0.959776127264851,
24001000100,2015,0.756230868119787,,1.60702413887374,-0.850793270753952,
24001000100,2016,0.756230868119787,1.44809273733903,1.58453470839456,-0.828303840274769,-0.136441971055527
24001000100,2017,0.756230868119787,,1.59847048674239,-0.842239618622603,
24001000100,2018,,-0.257501113834952,1.46291923039403,,-1.72042034422898
24001000100,2019,,,1.42041144669129,,
24001000100,2020,,,1.52759438703984,,
24001000100,2021,,,1.44702194838987,,
24001000100,2022,,,1.45082754995477,,
24001000100,2023,,,1.56564419565818,,
24001000200,2014,,2.48588554116789,1.41216042588158,,1.07372511528631
24001000200,2015,,2.48588554116789,1.33728425628024,,1.14860128488765
24001000200,2016,,,1.39957764142108,,
24001000200,2017,,,1.44657531806757,,
24001000200,2018,,,1.58889024914679,,
24001000200,2019,,,1.49312572179032,,
24001000200,2020,,,1.41581178116424,,
24001000200,2021,,,1.35507851218887,,
24001000200,2022,,,1.36905929478604,,
24001000200,2023,,,1.37284906588265,,
24001000500,2014,-3.17432147726899,,0.25552964146613,-3.42985111873512,
24001000500,2015,-4.05469998385524,,-0.0382077531838233,-4.01649223067141,
24001000500,2016,0.354639054571125,,-0.336142879289079,0.690781933860204,
24001000500,2017,-1.29494330341547,,-0.748071511504417,-0.546871791911051,
24001000500,2018,-1.28931275107355,,-1.06207019057569,-0.227242560497865,
24001000500,2019,-0.97034452296216,,-1.49279748520134,0.522452962239175,
24001000500,2020,-2.13615727297904,,-1.03855453642172,-1.09760273655732,
24001000500,2021,-2.91824727856963,,-0.309389205316982,-2.60885807325265,
24001000500,2022,-1.80612395779243,,0.192422915956418,-1.99854687374885,
24001000500,2023,-3.38478374422605,,0.572452423308101,-3.95723616753415,
24001000600,2014,,,0.576844337616689,,
24001000600,2015,-3.27757754224392,,0.0852420709794133,-3.36281961322333,
24001000600,2016,-2.22773189422179,,0.206323427841228,-2.43405532206302,
24001000600,2017,-1.93124825477626,,0.270246779348936,-2.2014950341252,
24001000600,2018,-0.407785995346261,,0.787491158969841,-1.1952771543161,
24001000600,2019,-0.856474839380112,,0.672868571424872,-1.52934341080498,
24001000600,2020,-0.195118079199039,,0.545569366344877,-0.740687445543916,
24001000600,2021,,,0.303263352581947,,
24001000600,2022,,,0.624590641426371,,
24001000600,2023,-1.57171977814928,,0.632176660176896,-2.20389643832618,
24001000700,2014,-4.59583237257845,-4.64703850890231,-0.326963179073189,-4.26886919350526,-4.32007532982913
24001000700,2015,-4.59024849197896,-4.62874846630138,-0.420431337904295,-4.16981715407467,-4.20831712839709
24001000700,2016,-4.00077022012513,-4.62236456489104,-0.38431943616836,-3.61645078395677,-4.23804512872268
24001000700,2017,-4.31379581990713,,-0.284140369797698,-4.02965545010943,
24001000700,2018,-3.27532004503698,,-0.534340879096993,-2.74097916593999,
24001000700,2019,-3.10685805922276,,-0.454425201058382,-2.65243285816438,
24001000700,2020,-2.77999702184415,,-0.265018188557337,-2.51497883328681,
24001000700,2021,-3.19834849950359,,-0.441022424204945,-2.75732607529864,
24001000700,2022,-2.41805087239495,,-0.183947348870922,-2.23410352352403,
24001000700,2023,,-0.759073491900691,-0.326461777187661,,-0.43261171471303
24001000800,2014,0.39030422268483,-1.93493595425524,-0.429083308231783,0.819387530916614,-1.50585264602346
24001000800,2015,-0.0226113146709706,-1.61308073740633,-0.457769129410192,0.435157814739221,-1.15531160799614
24001000800,2016,-1.84710400592073,-1.3439082414101,-0.735172294702488,-1.11193171121824,-0.608735946707608
24001000800,2017,-1.3527489227929,,-0.688234963655825,-0.664513959137072,
24001000800,2018,-2.13603644033886,,-0.530558149906685,-1.60547829043217,
24001000800,2019,-4.08838170658055,,-0.4116949331928,-3.67668677338775,
24001000800,2020,-3.69705292720159,-1.36535397818586,-0.623671032437536,-3.07338189476406,-0.741682945748323
24001000800,2021,,-1.36535397818586,-0.168019620224297,,-1.19733435796156
24001000800,2022,,-1.36535397818586,-0.505680759097755,,-0.859673219088104
24001000800,2023,,-1.56305347039602,-0.42262334215443,,-1.14043012824159
24001001000,2014,-2.86256944403143,-6.06614023881381,-0.865431103443195,-1.99713834058823,-5.20070913537062
24001001000,2015,-2.5235234135377,-6.05528022371748,-0.95714737366546,-1.56637603987224,-5.09813285005202
24001001000,2016,-2.46798044019988,-5.91099919741264,-1.08961079295449,-1.37836964724539,-4.82138840445814
24001001000,2017,-2.43777543931364,-5.27500331830903,-1.55656561091124,-0.881209828402396,-3.71843770739778
24001001000,2018,-2.62031233161223,-5.20854818879478,-1.04329059611251,-1.57702173549972,-4.16525759268227
24001001000,2019,-2.83228466215408,,-0.948906907791331,-1.88337775436275,
24001001000,2020,-2.79538872593204,,-0.698934827477757,-2.09645389845428,
24001001000,2021,,,-0.645715425085504,,
24001001000,2022,-3.36861015267528,,-0.687379877007658,-2.68123027566762,
24001001000,2023,-3.16271304809048,,-0.726177586619775,-2.43653546147071,
24001001100,2014,-2.59041116794782,,-1.11309093276453,-1.47732023518329,
24001001100,2015,-2.60782128357862,,-1.09597933474337,-1.51184194883525,
24001001100,2016,-2.29936854143769,,-0.975676628751406,-1.32369191268628,
24001001100,2017,-2.33366734148622,,-0.804860273660314,-1.52880706782591,
24001001100,2018,,,-0.999713116563551,,
24001001100,2019,,,-1.0309018314046,,
24001001100,2020,,,-0.745232823451988,,
24001001100,2021,,,-0.737219855183659,,
24001001100,2022,-1.66560101910096,,-1.04072722975357,-0.624873789347387,
24001001100,2023,,,-1.45020626790791,,
24001001200,2014,-0.203186075025819,,1.33217296322357,-1.53535903824939,
24001001200,2015,0.265876313223756,,1.14085042960566,-0.874974116381902,
24001001200,2016,0.135823340520541,,0.874275733213464,-0.738452392692923,
24001001200,2017,-1.66316967620682,,0.94798461401882,-2.61115429022564,
24001001200,2018,-1.77140570192257,,0.773834554042429,-2.545240255965,
24001001200,2019,,,0.861756224265958,,
24001001200,2020,,,1.13197018726661,,
24001001200,2021,,,1.27252653221001,,
24001001200,2022,,,1.63197224231279,,
24001001200,2023,,,1.487948883512,,
24001001300,2014,-0.203186075025819,,1.17948572188005,-1.38267179690587,
24001001300,2015,0.265876313223755,,1.03543194634059,-0.769555633116834,
24001001300,2016,0.135823340520541,2.48588554116789,1.02029810262336,-0.884474762102824,1.46558743854453
24001001300,2017,-1.66316967620682,2.34627895903634,1.28494122568753,-2.94811090189435,1.06133773334881
24001001300,2018,-1.77140570192257,2.41953775997418,1.21485525820092,-2.98626096012349,1.20468250177325
24001001300,2019,,2.42842363978341,1.21851050489693,,1.20991313488648
24001001300,2020,,2.48588554116789,1.40675285380882,,1.07913268735907
24001001300,2021,,,1.17462392164375,,
24001001300,2022,,,1.12015567726755,,
24001001300,2023,,,1.08268895587051,,
24001001401,2014,,,1.59844066205057,,
24001001401,2015,,,1.58894685419002,,
24001001401,2016,,,1.70217528419234,,
24001001401,2017,,,1.74634081750427,,
24001001401,2018,,,1.75340948219533,,
24001001401,2019,,,1.82992042634479,,
24001001401,2020,,,1.87761551402031,,
24001001401,2021,,,1.87989727905685,,
24001001401,2022,,-3.02097573709683,1.94791009208538,,-4.96888582918221
24001001401,2023,0.756230868119787,-3.32059008381843,1.85719418360094,-1.10096331548115,-5.17778426741937
24001001402,2014,-0.238378732938739,,0.937095141380698,-1.17547387431944,
24001001402,2015,-0.602739815475127,,1.35173375148575,-1.95447356696087,
24001001402,2016,-0.815392391423978,,1.3728066377707,-2.18819902919468,
24001001402,2017,,,1.42748228204017,,
24001001402,2018,,,1.47822821057556,,
24001001402,2019,,,1.4168117295375,,
24001001402,2020,,,1.50569203601663,,
24001001402,2021,,,1.57155087793253,,
24001001402,2022,,,1.42096300445111,,
24001001402,2023,1.51277836115128,,1.37888763840721,0.13389072274407,
24001001502,2014,,2.48588554116789,1.41303236683476,,1.07285317433313
24001001502,2015,,2.48588554116789,1.36978618532871,,1.11609935583918
24001001502,2016,,,1.34883892146709,,
24001001502,2017,,,1.39056412228392,,
24001001502,2018,,,1.31613778479631,,
24001001502,2019,,,1.2837170588857,,
24001001502,2020,,,1.27650037991092,,
24001001502,2021,,,1.27662517223293,,
24001001502,2022,,,1.24546359113275,,
24001001502,2023,,,1.19026364346358,,
24001001503,2014,,,1.56884627355073,,
24001001503,2015,,,1.55195441674084,,
24001001503,2016,,,1.38940464179741,,
24001001503,2017,,,1.39661325444206,,
24001001503,2018,,,1.32005774064641,,
24001001503,2019,,,1.28697580267353,,
24001001503,2020,,,1.34216596666537,,
24001001503,2021,,,1.45546196280258,,
24001001503,2022,,,1.40722153955004,,
24001001503,2023,,,1.52168780500822,,
24001001600,2014,,,1.30978910711673,,
24001001600,2015,,,1.16694730159387,,
24001001600,2016,,,1.08054329822195,,
24001001600,2017,,,1.38515412856726,,
24001001600,2018,,,1.11420585679959,,
24001001600,2019,,,1.04926803033628,,
24001001600,2020,,,1.08330767781846,,
24001001600,2021,,,1.17255505607693,,
24001001600,2022,,,1.13140726043121,,
24001001600,2023,,,1.3044645347483,,
24001001700,2014,,,-0.0856806406352454,,
24001001700,2015,,,0.133509330629024,,
24001001700,2016,,-3.451052346622,0.274780400737511,,-3.72583274735951
24001001700,2017,,-3.451052346622,0.153607890808091,,-3.60466023743009
24001001700,2018,-5.1807070196701,-3.451052346622,0.438325694792541,-5.61903271446264,-3.88937804141454
24001001700,2019,,-3.451052346622,0.842991945578409,,-4.29404429220041
24001001700,2020,,,0.716387635863822,,
24001001700,2021,-2.46938644701864,-3.01029004347513,0.461063048617942,-2.93044949563658,-3.47135309209307
24001001700,2022,-1.54939381531043,-1.43274152928714,0.558502906723221,-2.10789672203365,-1.99124443601037
24001001700,2023,-3.47198011630661,-1.10759511066327,0.301190203885985,-3.77317032019259,-1.40878531454926
24001001800,2014,-3.25054856548447,-4.17769118713348,-0.398673943895309,-2.85187462158916,-3.77901724323817
24001001800,2015,-3.3197113924984,-4.22461676319988,-0.545031397398609,-2.7746799950998,-3.67958536580127
24001001800,2016,-3.04922554543581,-4.05803096816417,-0.671486709519794,-2.37773883591601,-3.38654425864438
24001001800,2017,-3.66210118219614,-6.26632651708951,-0.549721175906869,-3.11238000628927,-5.71660534118264
24001001800,2018,-4.27814257648432,-5.14657147277861,-0.645236320158078,-3.63290625632624,-4.50133515262053
24001001800,2019,-4.21851279717306,-4.93306926567823,-0.417093881439107,-3.80141891573395,-4.51597538423912
24001001800,2020,-5.1974030930247,-4.62710008355244,-0.286956831034445,-4.91044626199025,-4.34014325251799
24001001800,2021,-4.99125603987671,-4.97864986153574,-0.144437587916941,-4.84681845195977,-4.8342122736188
24001001800,2022,-3.34249463860749,-3.33937588643986,-0.419967004294633,-2.92252763431286,-2.91940888214523
24001001800,2023,-3.31032129936764,2.19440552060163,-0.152620235149284,-3.15770106421835,2.34702575575091
24001001900,2014,,,1.23712189817499,,
24001001900,2015,,,1.12533339330476,,
24001001900,2016,,,1.10533643948103,,
24001001900,2017,,,1.26704036121832,,
24001001900,2018,,,1.28715976950858,,
24001001900,2019,,,1.43781890604897,,
24001001900,2020,,,1.51957886999839,,
24001001900,2021,,,1.439425034159,,
24001001900,2022,,,1.51171169803864,,
24001001900,2023,,,1.60373051011377,,
24001002000,2014,,0.577284780647177,1.2469505722842,,-0.66966579163702
