ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,ZIP_RAW,ZIPBR_RAW,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
15701,DIF,NM,United States,16602,STATE,11020,466128,Pennsylvania,05/14/2007,2024,State Agency,11,42,100.0,2,10096,United States,"S&T BANCORP, INC.",0,,0,7713462,,Altoona,ONE,CB,EXACT,"",STATE,0,,0,800 Philadelphia St,107,117578,1071397,13,11124,40.4739310175525,PA,4,CALL,0,New York,936426,Altoona  Regional Bkg Ctr Branch,1,,Blair,COMMERCIAL LENDING,"",,"",0,15701,16602,68,0,PA,1,Pennsylvania,4,FDIC,Cleveland,9628986,,0,1100 Logan Blvd,-78.4019000168899,,INDIANA,42063,"Altoona-Huntingdon, PA",Indiana,21,42013,"","Altoona, PA",S&T Bank,Altoona,PA,2024_11124_68
22314,DIF,NM,United States,22801,STATE,25500,419173,Virginia,05/15/2003,2024,State Agency,11,51,100.0,5,0,United States,BURKE & HERBERT FINANCIAL SERVICES CORP.,0,,0,6663550,,Harrisonburg,ONE,CB,EXACT,"",STATE,0,,0,100 S Fairfax St,277,23595,5756704,660,11578,38.4047780038811,VA,4,CALL,0,Atlanta,933621,Stone Spring Road Branch,1,,Harrisonburg (City),COMMERCIAL LENDING,"",,05/03/2024,0,22314,22801,68,0,VA,1,Virginia,5,FDIC,Richmond,7803852,,0,"1925 Stone Spring Rd, Ste 200",-78.8669099839716,,ALEXANDRIA,51510,"Harrisonburg-Staunton-Stuarts Draft, VA",Alexandria,21,51660,"","Harrisonburg, VA",Burke & Herbert Bank & Trust Company,Rockingham,VA,2024_11578_68
25304,DIF,N,United States,25880,OCC,13220,16426,West Virginia,04/29/1981,2024,Comptroller of the Currency,11,54,100.0,5,11051,United States,CITY HOLDING COMPANY,0,5,0,5096095,,Mount Hope,ONE,CB,EXACT,"",FED,0,,0,3601 Maccorkle Ave Se,0,37164,1076262,81,17735,37.8485479940886,WV,4,CALL,0,Atlanta,1011526,Cross Roads Branch,1,,Raleigh,COMMERCIAL LENDING,Southern,,04/26/1999,0,25304,25880,68,0,WV,1,West Virginia,5,OCC,Richmond,6320264,,0,5517 Robert C Byrd Dr,-81.1966159665941,,CHARLESTON,54039,"",Charleston,3,54081,"","Beckley, WV",City National Bank of West Virginia,Mount Hope,WV,2024_17735_68
22030,DIF,SM,United States,24486,STATE,44420,289364,Virginia,04/12/1999,2024,State Agency,11,51,100.0,5,10762,United States,"UNITED BANKSHARES, INC.",0,,0,23305317,,Weyers Cave,ONE,CB,EXACT,"",STATE,0,,0,11185 Fairfax Blvd,277,57402,1076217,15,22858,38.2854909907493,VA,4,CALL,0,Atlanta,365325,Weyers Cave Branch,1,,Augusta,COMMERCIAL LENDING,"",,07/14/2007,0,22030,24486,68,0,VA,1,Virginia,5,FED,Richmond,29868220,,0,"54 Franklin St, Ste 102",-78.9148750057979,,CHARLESTON,51059,"Harrisonburg-Staunton-Stuarts Draft, VA",Fairfax,13,51015,"","Staunton-Stuarts Draft, VA",United Bank,Weyers Cave,WV,2024_22858_68
24112,DIF,NM,United States,24013,STATE,40220,290761,Virginia,11/13/1998,2024,State Agency,11,51,100.0,5,0,United States,"CARTER BANKSHARES, INC.",0,,0,3881771,,Roanoke,ONE,CB,EXACT,"",STATE,0,,0,4 Commonwealth Blvd E,0,22885,5530258,770,58596,37.2687290037371,VA,4,CALL,0,Atlanta,3476192,Southeast Branch,1,,Roanoke (City),COMMERCIAL LENDING,"",,12/30/2006,0,24112,24013,68,0,VA,1,Virginia,5,FDIC,Richmond,4528828,,0,616 9th St Se,-79.9282229598277,,MARTINSVILLE,51690,"",Martinsville,21,51770,"","Roanoke, VA",Carter Bank & Trust,Roanoke,VA,2024_58596_68
14850,DIF,NM,United States,19422,STATE,37980,262286,New York,10/10/1995,2024,State Agency,11,42,100.0,2,10202,United States,TOMPKINS FINANCIAL CORPORATION,0,,0,6323593,,Blue Bell,ONE,CB,EXACT,"",STATE,0,,33874,118 E Seneca St,428,83916,2367921,91,609,40.1646069810561,NY,4,CALL,0,New York,433608,Centre Square Branch,1,,Montgomery,COMMERCIAL LENDING,"",,01/01/2022,0,14850,19422,68,0,PA,1,Pennsylvania,2,FDIC,New York,7830413,,0,1380 Skippack Pike,-75.290169005883,,ITHACA,36109,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Ithaca,21,42091,"Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Tompkins Community Bank,Blue Bell,NY,2024_609_68
44406,DIF,N,United States,16232,OCC,0,216815,Ohio,08/12/1996,2024,Comptroller of the Currency,12,42,US_Zipcode,9,13123,United States,FARMERS NATIONAL BANC CORP.,0,1,0,4258222,,Knox,MULT,CB,M,"",FED,0,,0,20 S Broad St,0,45177,1071191,31,6540,41.231032,OH,4,CALL,0,Chicago,680813,Knox Branch,0,,Clarion,COMMERCIAL LENDING,Northeastern,,01/01/2023,0,44406,16232,68,0,PA,1,Pennsylvania,4,OCC,Cleveland,5142831,,0,Route 338 South,-79.54639,,CANFIELD,39099,"",Canfield,3,42031,"","",The Farmers National Bank of Canfield,Knox,OH,2024_6540_68
15701,DIF,NM,United States,15642,STATE,38300,5362,Pennsylvania,01/01/1922,2024,State Agency,11,42,100.0,2,10096,United States,"S&T BANCORP, INC.",0,,0,7713462,,Irwin,ONE,CB,EXACT,"",STATE,0,,0,800 Philadelphia St,430,180934,1071397,129,11124,40.3325630120619,PA,4,CALL,0,New York,936426,Irwin Branch,1,,Westmoreland,COMMERCIAL LENDING,"",,06/07/2008,0,15701,15642,69,0,PA,1,Pennsylvania,4,FDIC,Cleveland,9628986,,0,309 Main St,-79.7103740273558,,INDIANA,42063,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",Indiana,21,42129,"","Pittsburgh, PA",S&T Bank,Irwin,PA,2024_11124_69
22314,DIF,NM,United States,22801,STATE,25500,442397,Virginia,11/01/2004,2024,State Agency,11,51,100.0,5,0,United States,BURKE & HERBERT FINANCIAL SERVICES CORP.,0,,0,6663550,,Harrisonburg,ONE,CB,EXACT,"",STATE,0,,0,100 S Fairfax St,277,96681,5756704,660,11578,38.4469189860145,VA,4,CALL,0,Atlanta,933621,South Main Street Branch,1,,Harrisonburg (City),COMMERCIAL LENDING,"",,05/03/2024,0,22314,22801,69,0,VA,1,Virginia,5,FDIC,Richmond,7803852,,0,224 S Main St,-78.8689339621314,,ALEXANDRIA,51510,"Harrisonburg-Staunton-Stuarts Draft, VA",Alexandria,21,51660,"","Harrisonburg, VA",Burke & Herbert Bank & Trust Company,Harrisonburg,VA,2024_11578_69
16830,DIF,NM,United States,24153,STATE,40220,654694,Pennsylvania,02/13/2023,2024,State Agency,11,51,100.0,2,11178,United States,CNB FINANCIAL CORPORATION,0,,0,5212854,,Salem,ONE,CB,EXACT,"",STATE,0,,0,1 S 2nd St,0,99597,1118340,775,13876,37.2917560195978,PA,4,CALL,0,New York,399517,Salem Branch Office,1,,Salem (City),COMMERCIAL LENDING,"",,"",0,16830,24153,69,0,VA,1,Virginia,3,FDIC,Philadelphia,5865071,,0,124 W Main St,-80.0619429815849,,CLEARFIELD,42033,"",Clearfield,21,51775,"","Roanoke, VA",CNB Bank,Salem,PA,2024_13876_69
