addressLatitude,addressLongitude,creditUnionName,creditUnionSiteName,city,cityPhysical,country,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,palS_I,palS_II,siteFunctions,siteName,state,url,zipcode,street
40.106571,-74.982055,PHILADELPHIA,PFCU Operations Center,Philadelphia,,United States,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.pfcu.com,19154-1003,12800 Townsend Rd
40.106571,-74.982055,PHILADELPHIA,Service Center,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.pfcu.com,19154-1003,12800 Townsend Rd
40.115364,-74.96055,TRUMARK FINANCIAL,Bensalem,Bensalem,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,http://www.trumarkonline.org,19020-2027,3250 Tillman Dr
40.082306,-75.168325,POLICE & FIRE,Cedarbrook Plaza Branch,Wyncote,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pffcu.org,19095-2918,1000 Easton Rd
40.076506,-75.08378,AMERICAN HERITAGE,Rhawn Street,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;Shared Service Center,,PA,http://www.americanheritagecu.org,19111-2227,430 Rhawn St
40.077276,-75.18652,E R R L,ERRL FCU,Wyndmoor,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,;;;Shared Service Center,,PA,https://www.errffcu.com,19038,600 E Mermaid Ln
40.077276,-75.18652,E R R L,ERRL FCU,Wyndmoor,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,;;;,,PA,https://www.errffcu.com,19038,600 E Mermaid Ln
40.108881,-74.952354,NAVY FEDERAL CREDIT UNION,Bensalem PA,Bensalem,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.navyfcu.org,19020,2645 Street Rd
40.072195,-75.074996,SERVICE STATION DEALERS,SSDFCU,Phila,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,"",19111-2627,906 Rhawn St
40.095979,-74.976403,TRUMARK FINANCIAL,Parkwood,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,http://www.trumarkonline.org,19154,12377 Academy Rd
40.076012,-75.206814,TRUMARK FINANCIAL,Chestnut Hill,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;Shared Service Center,,PA,http://www.trumarkonline.org,19118,8500 Germantown Ave
40.058859,-75.151433,M.A.B.C.,MABC FCU,Philadelphia,,United States,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,"",19138-2095,2012 69th Ave
40.167713,-74.847333,AMERICAN HERITAGE,Fairless Hills,Fairless Hills,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.americanheritagecu.org,19030-2612,501 S Oxford Valley Rd
40.060907,-75.052209,EAGLE ONE,Bustleton Branch,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Member Services;ATM;;,,PA,http://www.eagleonefcu.org,19152,8022 Bustleton Ave
40.073189,-75.242867,POLICE & FIRE,Ridge Ave Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pffcu.org,19128-1030,9165 Ridge Ave
40.068858,-75.007295,POLICE & FIRE,Grant & Academy Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.pffcu.org,19114-2632,3300 Grant Ave
40.05517,-75.062851,POLICE & FIRE,Castor Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pffcu.org,19152-4002,7500 Castor Ave
40.057242,-75.045053,PHILADELPHIA,8025 Roosevelt Blvd,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pfcu.com,19152-3000,8025 Roosevelt Blvd
40.170493,-74.836881,SPIRIT FINANCIAL,Levittown,Levittown,,United States,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.spiritfinancialcu.org,19054-1601,8535 New Falls Rd
40.05319,-75.185413,PHILADELPHIA,6707 Germantown Ave,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pfcu.com,19119-2109,6707 Germantown Ave
40.051148,-75.063442,TRUMARK FINANCIAL,Large St (Northeast Phila),Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,http://www.trumarkonline.org,19152,7350 Large St
40.068146,-74.98406,PHILADELPHIA,Torresdale Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.pfcu.com,19114,3799 Clarendon Ave
40.045156,-75.088175,SUN,Northeast Philadelphia Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Member Services;ATM;;,,PA,http://www.sunfederalcu.org,19111-7305,Lawndale Plaza 6391 Oxford Ave Ste D1
40.064782,-74.984913,FREEDOM,Morrell Plaza Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.freedomcu.org,19114-1900,9910 Frankford Ave
40.045226,-75.072096,NORTHWOOD,Northwood Federal Credit Union,Philadelphia,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,http://www.northwoodfcu.com,19149-2108,6836 Castor Ave
40.041247,-75.094946,AMERICAN HERITAGE,Naval Support Activity (NSA),Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;Shared Service Center,,PA,http://www.americanheritagecu.org,19111,700 Robbins St Bldg 1
40.050442,-75.015096,RELIANCE,Reliance Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.reliancefcu.com,19136-1304,8704A Crispin Dr
